hop_name,location,code,ptr_lat,ptr_lon,ptr_city
Bundle-Ether34.132.bdr01-ipt-4millros-per.au.superloop.com,per|au,AU-WA,-31.9403,115.967003,Perth
be-2-0.ibr01.par21.ntwk.msn.net,par,FR-IDF,49.012798,2.55,Paris
ae28-0.icr01.par30.ntwk.msn.net,par,FR-IDF,49.012798,2.55,Paris
psw02.mxp1.tfbnw.net,mxp,IT-25,45.6306,8.72811,Milan
po213.asw01.lis1.tfbnw.net,lis,PT-11,38.7813,-9.13592,Lisbon
msw1aj.01.fra5.tfbnw.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
po121.asw04.mrs2.tfbnw.net,mrs,FR-PAC,43.439272,5.221424,Marseille
msw1ad.02.mrs2.tfbnw.net,mrs,FR-PAC,43.439272,5.221424,Marseille
ae23-0.bru30-96cbe-1a.ntwk.msn.net,bru,BE-BRU,50.901402,4.48444,Brussels
be2753.ccr32.mrs02.atlas.cogentco.com,mrs,FR-PAC,43.439272,5.221424,Marseille
if-ae-2-2.tcore2.sv8-highbridge.as6453.net,highbridge,GB,51.21667,-2.98333,Highbridge
ae2.r01.mil01.icn.netarch.akamai.com,mil,IT-25,45.6306,8.72811,Milan
po201.asw01.bcn1.tfbnw.net,bcn,ES-CT,41.2971,2.07846,Barcelona
be2867.rcr21.bcn01.atlas.cogentco.com,bcn,ES-CT,41.2971,2.07846,Barcelona
ae0.r23.fra02.ien.netarch.akamai.com,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae2.r01.mrs01.icn.netarch.akamai.com,mrs,FR-PAC,43.439272,5.221424,Marseille
ae5.r01.mil02.icn.netarch.akamai.com,mil,IT-25,45.6306,8.72811,Milan
ae1.r02.mil01.ien.netarch.akamai.com,mil,IT-25,45.6306,8.72811,Milan
ae34.r04.border101.mil01.fab.netarch.akamai.com,mil,IT-25,45.6306,8.72811,Milan
ae26.pr04.mrs1.tfbnw.net,mrs,FR-PAC,43.439272,5.221424,Marseille
msw1ad.01.mrs2.tfbnw.net,mrs,FR-PAC,43.439272,5.221424,Marseille
zayo-ntt.mcs1.ams17.nl.zip.zayo.com,ams|nl,NL-NH,52.308601,4.76389,Amsterdam
be10.br02.ams02.as3491.net,ams,NL-NH,52.308601,4.76389,Amsterdam
nl-ams02a-rc2-lag-6-0.aorta.net,ams|nl,NL-NH,52.308601,4.76389,Amsterdam
ae10.pr02.fra5.tfbnw.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ix-ae-30-0.tcore1.ad1-amsterdam.as6453.net,amsterdam,NL-NH,52.37403,4.88969,Amsterdam
nl-ams17b-rc1-lag-5-0.aorta.net,ams|nl,NL-NH,52.308601,4.76389,Amsterdam
be2286.ccr41.lon13.atlas.cogentco.com,lon,GB-ENG,51.4706,-0.461941,London
ch-zrh01b-sa1-vl10.aorta.net,zrh|ch,CH-ZH,47.464699,8.54917,Zurich
ae121.ar01.ams2.tfbnw.net,ams,NL-NH,52.308601,4.76389,Amsterdam
ae2000.bb03.ams5.tfbnw.net,ams,NL-NH,52.308601,4.76389,Amsterdam
ae502.br01.ber1.tfbnw.net,ber,DE-BR,52.351389,13.493889,Berlin
ae-13.a00.amstnl07.nl.bb.gin.ntt.net,amstnl|nl,,,,
xe0-3-0-sar7.AMS.router.colt.net,ams,NL-NH,52.308601,4.76389,Amsterdam
gi5-1-iar2.ULI.router.colt.net,uli,,,,
be-2.bb1n.lon1.uk.m247.ro,lon|uk,GB-ENG,51.4706,-0.461941,London
ce-0-2-1.a00.nwrknj03.us.ce.gin.ntt.net,nwrknj|us,,,,
100ge0-32.core1.ams8.he.net,ams,NL-NH,52.308601,4.76389,Amsterdam
ae50.pr04.ams3.tfbnw.net,ams,NL-NH,52.308601,4.76389,Amsterdam
ae1.lr3-ams1.ip4.gtt.net,ams,NL-NH,52.308601,4.76389,Amsterdam
ae8.lr4-ams1.ip4.gtt.net,ams,NL-NH,52.308601,4.76389,Amsterdam
ae4.cr2-fra6.ip4.gtt.net,fra,DE-HE,50.033333,8.570556,Frankfurt am Main
ae-25.r32.tokyjp05.jp.bb.gin.ntt.net,tokyjp|jp,,,,
if-bundle-5-2.qcore2.ovc-tokyo.as6453.net,tokyo,JP-13,35.6895,139.69171,Tokyo
be-2201-cs02.9greatoaks.ca.ibone.comcast.net,9greatoaks|ca,,,,
ae-25.r33.tokyjp05.jp.bb.gin.ntt.net,tokyjp|jp,,,,
ae29-0.icr01.tyo31.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
be-100-0.ibr01.tyo31.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
ae24-0.icr01.tyo30.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
be-120-0.ibr02.tyo30.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
be-120-0.ibr02.tyo31.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
po4002.asw04.nrt1.tfbnw.net,nrt,JP-12,35.764702,140.386002,Tokyo / Narita
po4002.asw01.nrt1.tfbnw.net,nrt,JP-12,35.764702,140.386002,Tokyo / Narita
msw1ab.02.nrt1.tfbnw.net,nrt,JP-12,35.764702,140.386002,Tokyo / Narita
msw1aw.01.sjc3.tfbnw.net,sjc,US-CA,37.362598,-121.929001,San Jose
ae-20.a04.tokyjp05.jp.bb.gin.ntt.net,tokyjp|jp,,,,
be-100-0.ibr01.tyo30.ntwk.msn.net,tyo,JP-12,35.764702,140.386002,Tokyo / Narita
be-2101-cs01.9greatoaks.ca.ibone.comcast.net,9greatoaks|ca,,,,
