#IATA	size	name	lat long	country_code	city	pop	heuristic	1	2	3
AQJ	medium_airport	Aqaba King Hussein International Airport	29.6116008759 35.0181007385	JO	Aqaba	95048 0 0 0 
AQP	medium_airport	Rodríguez Ballón International Airport	-16.3411006927 -71.5830993652	PE	Arequipa	841130 0 0 0 
ARA	medium_airport	Acadiana Regional Airport	30.0377998352 -91.8839035034	US	New Iberia	30617 0 0 0 
ARE	medium_airport	Antonio Nery Juarbe Pol Airport	18.4500007629 -66.6753005981	PR	Arecibo	49318 0 0 0 
ARH	medium_airport	Talagi Airport	64.6003036499 40.7167015076	RU	Archangelsk	356051 0 0 0 
ARI	medium_airport	Chacalluta Airport	-18.3484992981 -70.3386993408	CL	Arica	185999 0 0 0 
ARK	medium_airport	Arusha Airport	-3.3677899837 36.6333007813	TZ	Arusha	341136 0 0 0 
ARM	medium_airport	Armidale Airport	-30.5280990601 151.617004395	AU	Armidale	22673 0 0 0 
ARN	large_airport	Stockholm-Arlanda Airport	59.6519012451 17.9186000824	SE	Stockholm	1253309 0 0 0 
ART	medium_airport	Watertown International Airport	43.9919013977 -76.021697998	US	Watertown	27023 0 0 0 
ARU	medium_airport	Araçatuba Airport	-21.1413002014 -50.4247016907	BR	Araçatuba	170024 0 0 0 
ARW	medium_airport	Arad International Airport	46.1766014099 21.2619991302	RO	Arad	169065 0 0 0 
ASB	medium_airport	Ashgabat Airport	37.9868011475 58.361000061	TM	Ashgabat	727700 0 0 0 
ASE	medium_airport	Aspen-Pitkin Co/Sardy Field	39.22320175 -106.8690033	US	Aspen	6658 0 0 0 
ASF	medium_airport	Astrakhan Airport	46.2832984924 48.0063018799	RU	Astrakhan	502533 0 0 0 
ASH	large_airport	Ronald Reagan Washington National Airport	38.8521003723 -77.0376968384	US	Washington	18761 2 0 0 
ASK	medium_airport	Yamoussoukro Airport	6.9031701088 -5.3655800819	CI	Yamoussoukro	194530 0 0 0 
ASM	medium_airport	Asmara International Airport	15.2918996811 38.9107017517	ER	Asmara	563930 0 0 0 
ASO	medium_airport	Asosa Airport	10.0185003281 34.5862998962	ET	Asosa	30512 0 0 0 
ASP	medium_airport	Alice Springs Airport	-23.8066997528 133.9019927979	AU	Alice Springs	25186 0 0 0 
ASR	medium_airport	Kayseri Erkilet Airport	38.770401001 35.4953994751	TR	Kayseri	592840 0 0 0 
AST	medium_airport	Astoria Regional Airport	46.158000946 -123.878997803	US	Astoria	9477 0 0 0 
ASU	medium_airport	Silvio Pettirossi International Airport	-25.2399997711 -57.5200004578	PY	Asunción	1482200 0 0 0 
ASW	medium_airport	Aswan International Airport	23.9643993378 32.8199996948	EG	Aswan	241261 0 0 0 
ATA	medium_airport	Comandante FAP German Arias Graziani Airport	-9.3474397659 -77.5983963013	PE	Anta	5859 0 0 0 
ATC	medium_airport	Arthur's Town Airport	24.6294002533 -75.6737976074	BS	Arthur's Town	1175 0 0 0 
ATF	medium_airport	Chachoán Airport	-1.2120699883 -78.5746002197	EC	Ambato	154369 0 0 0 
ATH	large_airport	Eleftherios Venizelos International Airport	37.9364013672 23.9444999695	GR	Athens	729137 0 0 0 
ATL	large_airport	Hartsfield Jackson Atlanta International Airport	33.6366996765 -84.4281005859	US	Atlanta	420003 0 0 0 
ATM	medium_airport	Altamira Airport	-3.2539100647 -52.2540016174	BR	Altamira	70888 0 0 0 
ATQ	large_airport	Sri Guru Ram Dass Jee International Airport Amritsar	31.7096004486 74.7973022461	IN	Amritsar	1092450 0 0 0 
ATR	medium_airport	Atar International Airport	20.5067996979 -13.0431995392	MR	Atar	24021 0 0 0 
ATY	medium_airport	Watertown Regional Airport	44.91400146 -97.15470123	US	Watertown	21482 0 0 0 
ATZ	medium_airport	Assiut International Airport	27.0464992523 31.0119991302	EG	Assiut	420585 0 0 0 
AUA	medium_airport	Queen Beatrix International Airport	12.5013999939 -70.0151977539	AW	Oranjestad	29998 0 0 0 
AUC	medium_airport	Santiago Perez Airport	7.06888 -70.7369	CO	Arauca	69264 0 0 0 
AUF	medium_airport	Auxerre-Branches Airport	47.8502006531 3.49710989	FR	Auxerre/Branches	41516 3 0 0 
AUG	medium_airport	Augusta State Airport	44.3205986023 -69.7973022461	US	Augusta	19136 0 0 0 
AUH	large_airport	Abu Dhabi International Airport	24.4330005646 54.6511001587	AE	Abu Dhabi	603492 0 0 0 
AUR	medium_airport	Aurillac Airport	44.8913993835 2.4219400883	FR	Aurillac	34724 0 0 0 
AUS	large_airport	Austin Bergstrom International Airport	30.1944999695 -97.6698989868	US	Austin	790390 0 0 0 
AUW	medium_airport	Wausau Downtown Airport	44.9262008667 -89.6266021729	US	Wausau	39106 0 0 0 
AVA	medium_airport	Anshun Huangguoshu Airport	26.2605555556 105.873333333	CN	Anshun	351936 0 0 0 
AVB	medium_airport	Aviano Air Base	46.0318984985 12.5965003967	IT	Aviano	8225 0 0 0 
AVI	medium_airport	Maximo Gomez Airport	22.0270996094 -78.7895965576	CU	Ciego de Avila	142027 0 0 0 
AVL	large_airport	Asheville Regional Airport	35.4361991882 -82.5418014526	US	Asheville	83393 0 0 0 
AVN	medium_airport	Avignon-Caumont Airport	43.9072990417 4.9018301964	FR	Avignon/Caumont	1043 3 0 0 
AVV	medium_airport	Avalon Airport	-38.0393981934 144.468994141	AU	Melbourne	4246375 0 0 0 
AWZ	medium_airport	Ahwaz Airport	31.3374004364 48.7620010376	IR	Ahwaz	841145 0 0 0 
AXA	medium_airport	Wallblake Airport	18.2047996521 -63.0550994873	AI	The Valley	2035 0 0 0 
AXD	medium_airport	Dimokritos Airport	40.8558998108 25.9563007355	GR	Alexandroupolis	52979 0 0 0 
AXM	medium_airport	El Eden Airport	4.45278 -75.7664	CO	Armenia	315328 2 0 0 
AXN	medium_airport	Chandler Field	45.8662986755 -95.3946990967	US	Alexandria	11070 0 0 0 
AXT	medium_airport	Akita Airport	39.6156005859 140.2189941406	JP	Akita	320069 0 0 0 
AYO	medium_airport	Juan De Ayolas Airport	-27.3700008392 -56.8499984741	PY	Ayolas	12061 0 0 0 
AYP	medium_airport	Coronel FAP Alfredo Mendivil Duarte Airport	-13.154800415 -74.2043991089	PE	Ayacucho	140033 0 0 0 
AYT	large_airport	Antalya International Airport	36.8987007141 30.8005008698	TR	Antalya	758188 0 0 0 
AZA	medium_airport	Phoenix-Mesa-Gateway Airport	33.30780029 -111.6549988	US	Phoenix	1445632 0 0 0 
AZD	medium_airport	Shahid Sadooghi Airport	31.9048995972 54.2765007019	IR	Yazd	477905 0 0 0 
AZO	medium_airport	Kalamazoo Battle Creek International Airport	42.2349014282 -85.5521011353	US	Kalamazoo	74262 0 0 0 
AZS	medium_airport	Samaná El Catey International Airport	19.2670001984 -69.7419967651	DO	Samana	11432 0 0 0 
BAB	large_airport	Beale Air Force Base	39.136100769 -121.43699646	US	Marysville	12072 0 0 0 
BAD	large_airport	Barksdale Air Force Base	32.5018005371 -93.6626968384	US	Bossier City	61315 0 0 0 
BAF	medium_airport	Barnes Municipal Airport	42.1577987671 -72.7155990601	US	Westfield/Springfield	153060 3 0 0 
BAG	medium_airport	Loakan Airport	16.3750991821 120.6200027466	PH	Baguio City	272714 0 0 0 
BAH	large_airport	Bahrain International Airport	26.2707996368 50.6335983276	BH	Manama	147074 0 0 0 
BAL	medium_airport	Batman Airport	37.9290008545 41.1166000366	TR	Batman	381990 0 0 0 
BAQ	medium_airport	Ernesto Cortissoz International Airport	10.8896 -74.7808	CO	Barranquilla	1380425 0 0 0 
BAT	medium_airport	Chafei Amsei Airport	-20.5844993591 -48.5941009521	BR	Barretos	101220 0 0 0 
